subj_code,prop_incongruent,word,color,congruence,orientation
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,orange,orange,congruent,upside_down
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,yellow,yellow,congruent,upside_down
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,yellow,yellow,congruent,upside_down
stroop_102,25,blue,yellow,incongruent,upside_down
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,blue,blue,congruent,upside_down
stroop_102,25,red,red,congruent,upright
stroop_102,25,blue,blue,congruent,upside_down
stroop_102,25,yellow,blue,incongruent,upright
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,red,red,congruent,upright
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,orange,orange,congruent,upside_down
stroop_102,25,blue,blue,congruent,upside_down
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,green,yellow,incongruent,upside_down
stroop_102,25,yellow,blue,incongruent,upside_down
stroop_102,25,yellow,orange,incongruent,upside_down
stroop_102,25,green,green,congruent,upright
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,orange,yellow,incongruent,upside_down
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,orange,orange,congruent,upside_down
stroop_102,25,blue,red,incongruent,upside_down
stroop_102,25,yellow,yellow,congruent,upside_down
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,yellow,yellow,congruent,upside_down
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,blue,orange,incongruent,upside_down
stroop_102,25,green,blue,incongruent,upside_down
stroop_102,25,yellow,yellow,congruent,upside_down
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,yellow,yellow,congruent,upside_down
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,blue,orange,incongruent,upright
stroop_102,25,red,green,incongruent,upright
stroop_102,25,red,yellow,incongruent,upright
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,red,blue,incongruent,upright
stroop_102,25,red,orange,incongruent,upside_down
stroop_102,25,orange,orange,congruent,upside_down
stroop_102,25,red,red,congruent,upright
stroop_102,25,orange,red,incongruent,upright
stroop_102,25,orange,orange,congruent,upside_down
stroop_102,25,orange,orange,congruent,upside_down
stroop_102,25,red,orange,incongruent,upright
stroop_102,25,green,green,congruent,upright
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,red,orange,incongruent,upright
stroop_102,25,orange,red,incongruent,upside_down
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,green,green,congruent,upright
stroop_102,25,blue,blue,congruent,upside_down
stroop_102,25,yellow,yellow,congruent,upside_down
stroop_102,25,green,blue,incongruent,upright
stroop_102,25,orange,orange,congruent,upside_down
stroop_102,25,red,red,congruent,upright
stroop_102,25,red,red,congruent,upright
stroop_102,25,green,blue,incongruent,upside_down
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,blue,orange,incongruent,upside_down
stroop_102,25,orange,blue,incongruent,upside_down
stroop_102,25,orange,red,incongruent,upright
stroop_102,25,orange,orange,congruent,upright
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,green,green,congruent,upright
stroop_102,25,red,red,congruent,upside_down
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,yellow,blue,incongruent,upright
stroop_102,25,blue,blue,congruent,upside_down
stroop_102,25,red,red,congruent,upright
stroop_102,25,yellow,yellow,congruent,upright
stroop_102,25,green,green,congruent,upside_down
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,yellow,green,incongruent,upright
stroop_102,25,blue,blue,congruent,upright
stroop_102,25,orange,orange,congruent,upright
